ean,partner_article,partner_article_variant,partner_variant_size,zalando_article_variant,zalando_variant_size,article_name,brand,season,flag_partner_variantsize,status_detail,status_description,country,sellable_zfs_stock,sellable_pf_stock,regular_price,discounted_price,currency,status_cluster
8720726049009,6,8720726049207,BLV_SM_BLK_6685,BVB21A003-Q11,BVB21A003-Q11000S000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,2,,"67,00","37,00",EUR,BLOCKED
8720726049016,2,8720726049016,BLV_SM_PI_6603,BVB21A006-J11,BVB21A006-J11000S000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,4,,"67,00","37,00",EUR,BLOCKED
8720726049023,4,8720726049245,BLV_SM_MB_6544,BVB21A005-M11,BVB21A005-M11000S000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,4,,"67,00","37,00",EUR,BLOCKED
8720726049030,4,8720726049191,BLV_SM_GRY_6591,BVB21A005-C11,BVB21A005-C11000S000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,4,,"67,00","37,00",EUR,BLOCKED
8720726049047,4,8720726049238,BLV_SM_PI_6554,BVB21A005-G11,BVB21A005-G11000S000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,4,,"67,00","37,00",EUR,BLOCKED
8720726049054,4,8720726049214,BLV_SM_LB_6572,BVB21A005-K11,BVB21A005-K11000S000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,4,,"67,00","37,00",EUR,BLOCKED
8720726049061,16,8720726049276,BLV_XS_LGRY_6513,BVB21A001-C11,BVB21A001-C1100XS000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,5,,"67,00","37,00",EUR,BLOCKED
8720726049078,12,8720726049252,BLV_SM_GRY_6534,BVB21A000-C11,BVB21A000-C11000S000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,3,,"67,00","37,00",EUR,BLOCKED
8720726049085,8,8720726049221,BLV_SM_ORG_6563,BVB21A002-H11,BVB21A002-H11000S000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,5,,"67,00","37,00",EUR,BLOCKED
8720726049092,18,8720726049283,BLV_SM_BL_6485,BVB21A007-K11,BVB21A007-K11000S000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,4,,"67,00","37,00",EUR,BLOCKED
8720726049108,14,8720726049269,BLV_SM_BLK_6523,BVB21A004-Q11,BVB21A004-Q11000S000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,4,,"67,00","37,00",EUR,BLOCKED
8720726049122,26,8720726049436,BLV_SM_RD_6425,BVB22O001-Q11,BVB22O001-Q11000S000,BVLV Active Wear T-shirt Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,18,,"47,99","27,99",EUR,BLOCKED
8720726049139,24,8720726049405,BLV_SM_LB_6417,BVB22O000-K11,BVB22O000-K11000S000,BVLV Active Wear T-shirt Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,22,,"47,99","27,99",EUR,BLOCKED
8720726049146,22,8720726049375,BLV_SM_RD_6405,BVB22O003-G11,BVB22O003-G11000S000,BVLV Active Wear T-shirt Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,16,,"47,99","27,99",EUR,BLOCKED
8720726049153,26,8720726049467,BLV_SM_PI_6431,BVB22O001-J11,BVB22O001-J11000S000,BVLV Active Wear T-shirt Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,20,,"47,99","27,99",EUR,BLOCKED
8720726049160,26,8720726049313,BLV_SM_WHT_6366,BVB22O001-A11,BVB22O001-A11000S000,BVLV Active Wear T-shirt Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,19,,"47,99","27,99",EUR,BLOCKED
8720726049177,20,8720726049344,BLV_SM_YLLW_6386,BVB22O002-E11,BVB22O002-E11000S000,BVLV Active Wear T-shirt Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,16,,"47,99","27,99",EUR,BLOCKED
8720726049191,4,8720726049191,BLV_MD_GRY_6590,BVB21A005-C11,BVB21A005-C11000M000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,5,,"67,00","37,00",EUR,BLOCKED
8720726049207,6,8720726049207,BLV_MD_BLK_6584,BVB21A003-Q11,BVB21A003-Q11000M000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,4,,"67,00","37,00",EUR,BLOCKED
8720726049214,4,8720726049214,BLV_MD_LB_6571,BVB21A005-K11,BVB21A005-K11000M000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,4,,"67,00","37,00",EUR,BLOCKED
8720726049221,8,8720726049221,BLV_MD_ORG_6562,BVB21A002-H11,BVB21A002-H11000M000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,5,,"67,00","37,00",EUR,BLOCKED
8720726049238,4,8720726049238,BLV_MD_PI_6553,BVB21A005-G11,BVB21A005-G11000M000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,5,,"67,00","37,00",EUR,BLOCKED
8720726049245,4,8720726049245,BLV_MD_MB_6543,BVB21A005-M11,BVB21A005-M11000M000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,5,,"67,00","37,00",EUR,BLOCKED
8720726049252,12,8720726049252,BLV_MD_GRY_6533,BVB21A000-C11,BVB21A000-C11000M000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,5,,"67,00","37,00",EUR,BLOCKED
8720726049269,14,8720726049269,BLV_MD_BLK_6522,BVB21A004-Q11,BVB21A004-Q11000M000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,4,,"67,00","37,00",EUR,BLOCKED
8720726049276,16,8720726049276,BLV_MD_LGRY_6511,BVB21A001-C11,BVB21A001-C11000M000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,4,,"67,00","37,00",EUR,BLOCKED
8720726049283,18,8720726049283,BLV_MD_BL_6484,BVB21A007-K11,BVB21A007-K11000M000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,2,,"67,00","37,00",EUR,BLOCKED
8720726049290,18,8720726049283,BLV_XS_BL_6486,BVB21A007-K11,BVB21A007-K1100XS000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,5,,"67,00","37,00",EUR,BLOCKED
8720726049306,26,8720726049313,BLV_MD_WHT_6373,BVB22O001-A11,BVB22O001-A11000M000,BVLV Active Wear T-shirt Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,18,,"47,99","27,99",EUR,BLOCKED
8720726049313,26,8720726049313,BLV_L_WHT_6374,BVB22O001-A11,BVB22O001-A11000L000,BVLV Active Wear T-shirt Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,16,,"47,99","27,99",EUR,BLOCKED
8720726049320,26,8720726049313,BLV_XL_WHT_6375,BVB22O001-A11,BVB22O001-A1100XL000,BVLV Active Wear T-shirt Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,14,,"47,99","27,99",EUR,BLOCKED
8720726049337,20,8720726049344,BLV_MD_YLLW_6387,BVB22O002-E11,BVB22O002-E11000M000,BVLV Active Wear T-shirt Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,19,,"47,99","27,99",EUR,BLOCKED
8720726049344,20,8720726049344,BLV_L_YLLW_6391,BVB22O002-E11,BVB22O002-E11000L000,BVLV Active Wear T-shirt Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,20,,"47,99","27,99",EUR,BLOCKED
8720726049351,20,8720726049344,BLV_XL_YLLW_6395,BVB22O002-E11,BVB22O002-E1100XL000,BVLV Active Wear T-shirt Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,19,,"47,99","27,99",EUR,BLOCKED
8720726049368,22,8720726049375,BLV_MD_RD_6404,BVB22O003-G11,BVB22O003-G11000M000,BVLV Active Wear T-shirt Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,17,,"47,99","27,99",EUR,BLOCKED
8720726049375,22,8720726049375,BLV_L_RD_6403,BVB22O003-G11,BVB22O003-G11000L000,BVLV Active Wear T-shirt Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,17,,"47,99","27,99",EUR,BLOCKED
8720726049382,22,8720726049375,BLV_XL_RD_6402,BVB22O003-G11,BVB22O003-G1100XL000,BVLV Active Wear T-shirt Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,16,,"47,99","27,99",EUR,BLOCKED
8720726049399,24,8720726049405,BLV_MD_LB_6416,BVB22O000-K11,BVB22O000-K11000M000,BVLV Active Wear T-shirt Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,21,,"47,99","27,99",EUR,BLOCKED
8720726049405,24,8720726049405,BLV_L_LB_6415,BVB22O000-K11,BVB22O000-K11000L000,BVLV Active Wear T-shirt Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,20,,"47,99","27,99",EUR,BLOCKED
