p_nr,p_name_keyword,p_name_proper,p_text,p_brand,p_cluster{0},p_comp[leg length],p_comp[compostion],p_comp[material],p_comp[care instructions],p_comp[producttype],p_tag[agegroup]{0},p_tag[gender]{0},p_tag[season]{0},p_tag[sizegrid]{0},p_tag[style]{0},p_bullet{0},p_bullet{1},p_bullet{2},p_bullet{3},p_bullet{4},a_nr,a_prodnr,a_ean,a_comp[color],a_comp[size],a_vk[zafn],a_vk_old[zafn],a_active[zafn],a_active,image_link,image_link,image_link,image_link
6603,Active wear Leggings,Basic,You can wear the everyday leggings for the gym as well as in your spare time. The leggings are very stretchy and comfortable for your enjoyment both at home and in the gym. The leggings support the parts of your body so that you perform better in your exercises.,BVLV,"Women, Gym wear, Fitness, Clothing, Sports wear, Leggings",long,"58% Polyamide, 36% Polyester, 6% Elastane","Polyamide, Polyester","30 °C washing machine, no dryer",Gym wear Leggings,adult,women,All season,Womens Sportleggings US [S],"Fitness, leisure",Strechy,no see through ,breathable,comfortable,shape forming,BLV_SM_PI_6603,8720726049016,8720726049016,Pink,S,"57,00","67,00",1,1,Picture,Picture,Picture,Picture
6590,Active wear Leggings,Basic,You can wear the everyday leggings for the gym as well as in your spare time. The leggings are very stretchy and comfortable for your enjoyment both at home and in the gym. The leggings support the parts of your body so that you perform better in your exercises.,BVLV,"Women, Gym wear, Fitness, Clothing, Sports wear, Leggings",long,"90% Polyamide, 10% Elastane",Polyamide,"30 °C washing machine, no dryer",Gym wear Leggings,adult,women,All season,Womens Sportleggings US [S-M],"Fitness, leisure",Strechy,no see through ,breathable,comfortable,shape forming,BLV_MD_GRY_6590,8720726049191,8720726049191,Ombre Grey,M,"57,00","67,00",1,1,,,,
6590,Active wear Leggings,Basic,You can wear the everyday leggings for the gym as well as in your spare time. The leggings are very stretchy and comfortable for your enjoyment both at home and in the gym. The leggings support the parts of your body so that you perform better in your exercises.,BVLV,"Women, Gym wear, Fitness, Clothing, Sports wear, Leggings",long,"90% Polyamide, 10% Elastane",Polyamide,"30 °C washing machine, no dryer",Gym wear Leggings,adult,women,All season,Womens Sportleggings US [S-M],"Fitness, leisure",Strechy,no see through ,breathable,comfortable,shape forming,BLV_SM_GRY_6591,8720726049030,8720726049030,Ombre Grey,S,"57,00","67,00",1,1,,,,
6590,Active wear Leggings,Basic,You can wear the everyday leggings for the gym as well as in your spare time. The leggings are very stretchy and comfortable for your enjoyment both at home and in the gym. The leggings support the parts of your body so that you perform better in your exercises.,BVLV,"Women, Gym wear, Fitness, Clothing, Sports wear, Leggings",long,"90% Polyamide, 10% Elastane",Polyamide,"30 °C washing machine, no dryer",Gym wear Leggings,adult,women,All season,Womens Sportleggings US [S-M],"Fitness, leisure",Strechy,no see through ,breathable,comfortable,shape forming,BLV_MD_LB_6571,8720726049214,8720726049214,Ombre Light Blue,M,"57,00","67,00",1,1,,,,
6590,Active wear Leggings,Basic,You can wear the everyday leggings for the gym as well as in your spare time. The leggings are very stretchy and comfortable for your enjoyment both at home and in the gym. The leggings support the parts of your body so that you perform better in your exercises.,BVLV,"Women, Gym wear, Fitness, Clothing, Sports wear, Leggings",long,"90% Polyamide, 10% Elastane",Polyamide,"30 °C washing machine, no dryer",Gym wear Leggings,adult,women,All season,Womens Sportleggings US [S-M],"Fitness, leisure",Strechy,no see through ,breathable,comfortable,shape forming,BLV_SM_LB_6572,8720726049054,8720726049054,Ombre Light Blue,S,"57,00","67,00",1,1,,,,
6590,Active wear Leggings,Basic,You can wear the everyday leggings for the gym as well as in your spare time. The leggings are very stretchy and comfortable for your enjoyment both at home and in the gym. The leggings support the parts of your body so that you perform better in your exercises.,BVLV,"Women, Gym wear, Fitness, Clothing, Sports wear, Leggings",long,"90% Polyamide, 10% Elastane",Polyamide,"30 °C washing machine, no dryer",Gym wear Leggings,adult,women,All season,Womens Sportleggings US [S-M],"Fitness, leisure",Strechy,no see through ,breathable,comfortable,shape forming,BLV_MD_MB_6543,8720726049245,8720726049245,Mint Blue,M,"57,00","67,00",1,1,,,,
6590,Active wear Leggings,Basic,You can wear the everyday leggings for the gym as well as in your spare time. The leggings are very stretchy and comfortable for your enjoyment both at home and in the gym. The leggings support the parts of your body so that you perform better in your exercises.,BVLV,"Women, Gym wear, Fitness, Clothing, Sports wear, Leggings",long,"90% Polyamide, 10% Elastane",Polyamide,"30 °C washing machine, no dryer",Gym wear Leggings,adult,women,All season,Womens Sportleggings US [S-M],"Fitness, leisure",Strechy,no see through ,breathable,comfortable,shape forming,BLV_SM_MB_6544,8720726049023,8720726049023,Mint Blue,S,"57,00","67,00",1,1,,,,
6584,Active wear Leggings,Basic,You can wear the everyday leggings for the gym as well as in your spare time. The leggings are very stretchy and comfortable for your enjoyment both at home and in the gym. The leggings support the parts of your body so that you perform better in your exercises.,BVLV,"Women, Gym wear, Fitness, Clothing, Sports wear, Leggings",long,"87% Polyamide, 13% Elastane",Polyamide,"30 °C washing machine, no dryer",Gym wear Leggings,adult,women,All season,Womens Sportleggings US [S-M],"Fitness, leisure",Strechy,no see through ,breathable,comfortable,shape forming,BLV_MD_BLK_6584,8720726049207,8720726049207,Black,M,"57,00","67,00",1,1,,,,
6584,Active wear Leggings,Basic,You can wear the everyday leggings for the gym as well as in your spare time. The leggings are very stretchy and comfortable for your enjoyment both at home and in the gym. The leggings support the parts of your body so that you perform better in your exercises.,BVLV,"Women, Gym wear, Fitness, Clothing, Sports wear, Leggings",long,"87% Polyamide, 13% Elastane",Polyamide,"30 °C washing machine, no dryer",Gym wear Leggings,adult,women,All season,Womens Sportleggings US [S-M],"Fitness, leisure",Strechy,no see through ,breathable,comfortable,shape forming,BLV_SM_BLK_6685,8720726049009,8720726049009,Black,S,"57,00","67,00",1,1,,,,
6562,Active wear Leggings,Basic,You can wear the everyday leggings for the gym as well as in your spare time. The leggings are very stretchy and comfortable for your enjoyment both at home and in the gym. The leggings support the parts of your body so that you perform better in your exercises.,BVLV,"Women, Gym wear, Fitness, Clothing, Sports wear, Leggings",long,"56% Nylon, 36% Polyester, 8% Elastane","Nylon, Polyester","30 °C washing machine, no dryer",Gym wear Leggings,adult,women,All season,Womens Sportleggings US [S-M],"Fitness, leisure",Strechy,no see through ,breathable,comfortable,shape forming,BLV_MD_ORG_6562,8720726049221,8720726049221,Orange,M,"57,00","67,00",1,1,,,,
